StateId,Year,Yes,No,Total,Missing
1,2012,61.8,38.2,587,0
1,2013,65.6,34.4,518,0
1,2014,62.4,37.6,548,0
1,2015,78.7,21.3,512,0
1,2016,88.3,11.7,503,0
2,2012,96.1,3.9,309,0
2,2013,94.8,5.2,328,0
2,2014,96.5,3.5,367,0
2,2015,95.5,4.5,357,0
2,2016,97.4,2.6,313,0
3,2012,94.4,5.6,2275,0
3,2013,91.6,8.4,2522,0
3,2014,75.2,24.8,3065,25
3,2015,79.2,20.8,3224,12
3,2016,70.1,29.9,3641,13
4,2012,88.1,11.9,703,0
4,2013,87.4,12.6,691,0
4,2014,87.8,12.2,743,0
4,2015,89.9,10.1,740,0
4,2016,88.3,11.7,758,0
5,2012,98.1,1.9,5938,0
5,2013,98.4,1.6,5541,0
5,2014,95.6,4.4,5471,0
5,2015,95.3,4.7,6079,0
5,2016,95.9,4.1,6542,0
6,2012,72.9,27.1,905,0
6,2013,72.6,27.4,782,0
6,2014,78.0,22.0,769,0
6,2015,80.5,19.5,820,0
6,2016,88.3,11.7,839,0
7,2012,89.6,10.4,490,0
7,2013,93.0,7.0,497,0
7,2014,90.9,9.1,506,0
7,2015,89.9,10.1,573,0
7,2016,89.0,11.0,529,0
8,2012,98.9,1.1,91,0
8,2013,99.1,.9,112,0
8,2014,100.0,0.0,84,0
8,2015,97.5,2.5,79,0
8,2016,100.0,0.0,99,0
9,2012,100.0,0.0,114,0
9,2013,100.0,0.0,110,0
9,2014,100.0,0.0,107,0
9,2015,100.0,0.0,106,0
9,2016,100.0,0.0,110,0
10,2012,99.1,.9,3294,0
10,2013,98.7,1.3,3417,0
10,2014,86.3,13.7,3267,0
10,2015,88.8,11.2,3431,0
10,2016,94.3,5.7,3573,0
11,2012,88.0,12.0,915,0
11,2013,89.2,10.8,1031,0
11,2014,90.1,9.9,887,0
11,2015,92.1,7.9,912,0
11,2016,92.6,7.4,1121,0
12,2012,100.0,0.0,187,0
12,2013,100.0,0.0,160,0
12,2014,100.0,0.0,121,0
12,2015,100.0,0.0,176,0
12,2016,97.7,2.3,129,0
13,2012,98.2,1.8,272,1
13,2013,99.5,.5,206,0
13,2014,98.6,1.4,217,1
13,2015,100.0,0.0,223,0
13,2016,98.9,1.1,183,2
14,2012,99.3,.7,1797,6
14,2013,99.5,.5,1355,1
14,2014,99.2,.8,1611,5
14,2015,99.4,.6,1786,2
14,2016,99.5,.5,1543,3
15,2012,82.4,17.6,1713,0
15,2013,90.5,9.5,961,0
15,2014,93.2,6.8,850,0
15,2015,85.4,14.6,1152,0
15,2016,89.8,10.2,1536,0
16,2012,74.0,26.0,1032,0
16,2013,75.9,24.1,917,0
16,2014,70.7,29.3,878,0
16,2015,75.7,24.3,1017,0
16,2016,76.0,24.0,992,0
17,2012,95.5,4.5,764,0
17,2013,92.6,7.4,674,0
17,2014,81.3,18.7,695,0
17,2015,82.9,17.1,783,0
17,2016,86.3,13.7,870,0
18,2012,99.2,.8,784,0
18,2013,99.1,.9,797,0
18,2014,99.4,.6,909,0
18,2015,99.1,.9,958,3
18,2016,99.8,.2,1104,0
19,2012,90.8,9.2,654,1
19,2013,91.7,8.3,731,0
19,2014,93.0,7.0,618,4
19,2015,94.6,5.4,662,0
19,2016,97.0,3.0,725,2
20,2012,86.6,13.4,291,0
20,2013,96.7,3.3,214,0
20,2014,97.6,2.4,295,0
