StateId,Year,Married,UnMarried,SingleFemale,SingleMale,Total,Missing
1,2012,78.1,0.0,19.8,2.1,566,21
2,2012,78.2,2.0,17.3,2.6,307,2
3,2012,66.6,.6,28.7,4.1,2220,55
4,2012,84.8,0.0,14.5,.7,703,0
5,2012,60.4,4.5,30.4,4.6,5580,358
6,2012,76.1,3.1,18.4,2.3,900,5
7,2012,70.0,1.4,25.7,2.9,487,3
8,2012,61.5,3.3,33.0,2.2,91,0
9,2012,44.7,2.6,45.6,7.0,114,0
10,2012,60.7,2.7,32.3,4.3,3247,47
11,2012,70.7,0.0,26.4,3.0,914,1
12,2012,72.7,0.0,21.9,5.3,187,0
13,2012,86.8,.4,9.9,2.9,273,0
14,2012,59.0,0.0,38.5,2.5,1802,1
15,2012,72.6,6.3,19.7,1.5,1696,17
16,2012,71.3,1.3,22.0,5.4,1019,13
17,2012,71.5,6.0,20.2,2.2,761,3
18,2012,78.2,.1,18.2,3.4,784,0
19,2012,69.4,1.6,28.7,.3,644,11
20,2012,75.2,5.9,17.5,1.4,286,5
21,2012,57.7,1.4,39.1,1.8,442,13
22,2012,68.3,5.3,24.3,2.1,753,1
23,2012,64.2,.0,33.0,2.8,2555,4
24,2012,75.0,5.4,17.3,2.3,520,0
25,2012,72.0,0.0,27.5,.5,422,3
26,2012,75.7,1.4,21.2,1.7,1211,17
27,2012,77.3,3.6,16.0,3.1,225,0
28,2012,63.1,1.9,32.9,2.2,417,0
29,2012,64.2,2.8,29.8,3.2,776,0
30,2012,83.3,0.0,15.6,1.0,96,0
31,2012,52.1,3.3,42.5,2.2,1015,8
32,2012,66.7,8.1,18.6,6.7,345,0
33,2012,44.6,3.6,49.1,2.6,2116,66
34,2012,71.9,0.0,25.1,3.1,1329,0
35,2012,89.7,0.0,7.7,2.6,155,0
36,2012,73.8,3.3,21.9,1.0,1246,4
37,2012,68.0,.3,29.2,2.5,1533,0
38,2012,73.6,4.8,21.1,.4,681,2
39,2012,66.1,2.9,27.1,4.0,1815,66
40,2012,59.2,11.5,25.7,3.7,191,0
41,2012,74.2,1.2,22.8,1.8,776,0
42,2012,61.1,.8,33.3,4.8,126,0
43,2012,80.0,1.3,16.2,2.5,789,24
44,2012,70.2,1.0,25.9,2.9,4999,40
45,2012,89.3,0.0,10.3,.4,562,0
46,2012,66.9,11.0,19.8,2.3,172,0
47,2012,82.7,0.0,16.0,1.3,636,3
48,2012,72.4,4.7,19.9,3.0,1206,21
49,2012,77.3,4.7,15.3,2.6,613,19
50,2012,69.8,.4,26.7,3.1,745,16
51,2012,91.4,2.5,3.7,2.5,81,0
52,2012,53.2,2.1,42.6,2.1,47,0
1,2013,79.2,.2,20.0,.6,506,12
2,2013,67.3,4.0,23.8,4.9,324,4
3,2013,64.5,.5,31.5,3.5,2409,113
4,2013,75.8,1.9,20.0,2.3,691,0
5,2013,60.1,5.5,29.9,4.4,5184,357
6,2013,73.5,3.3,20.8,2.4,780,2
7,2013,69.6,4.5,24.8,1.0,487,10
8,2013,76.8,3.6,17.9,1.8,112,0
9,2013,37.3,1.8,50.0,10.9,110,0
10,2013,59.3,3.1,33.7,3.9,3378,39
11,2013,74.9,0.0,23.0,2.2,1022,9
12,2013,62.5,1.9,30.6,5.0,160,0
13,2013,87.1,1.0,10.4,1.5,202,4
14,2013,59.2,.7,37.2,2.9,1352,4
15,2013,69.4,5.5,23.6,1.5,960,1
16,2013,74.4,1.5,17.6,6.5,888,29
17,2013,73.8,5.4,17.1,3.7,672,2
18,2013,78.5,.3,17.6,3.6,797,0
19,2013,64.0,2.1,32.4,1.5,731,0
20,2013,76.8,3.8,15.2,4.3,211,3
21,2013,68.1,3.2,27.1,1.5,339,16
22,2013,64.6,7.0,26.7,1.6,797,2
