StateId,Year,Age_LT_1_YR,Age_1_YR,Age_2_YR,Age_3_YR,Age_4_YR,Age_5_YR,Age_6_YR,Age_7_YR,Age_8_YR,Age_0_TO_8_YR,Age_9_YR,Age_10_YR,Age_11_YR,Age_12_YR,Age_13_YR,Age_14_YR,Age_15_YR,Age_16_YR,Age_17_YR,Age_18_YR,Age_19_YR,Age_20_YR,Total,Missing,Mean,Meridian
1,2012,2.0,9.7,11.8,11.4,8.5,7.3,7.0,4.4,4.8,67.0,3.7,5.6,3.4,3.9,3.7,3.2,3.2,2.9,1.9,1.0,.3,0.0,587,0,6.7,5.0
2,2012,.6,12.0,10.4,9.7,11.7,8.4,6.8,6.1,5.8,71.5,5.5,5.5,4.2,3.9,1.9,2.9,1.9,1.6,.6,0.0,.3,0.0,309,0,6.2,5.0
3,2012,2.1,15.1,13.7,10.6,9.5,7.3,6.2,5.7,5.1,75.2,4.9,4.5,3.4,3.0,2.5,2.3,2.0,1.5,.7,0.0,0.0,0.0,2275,0,5.6,4.0
4,2012,2.6,14.2,15.5,11.5,10.5,9.1,4.7,5.0,5.7,78.8,4.3,4.3,1.7,2.6,2.6,2.6,1.3,1.4,.6,0.0,0.0,0.0,703,0,5.3,4.0
5,2012,2.8,14.9,14.9,12.8,10.6,8.1,6.5,5.2,4.6,80.4,4.0,3.3,2.8,2.4,1.9,1.4,1.3,1.1,1.2,.2,0.0,0.0,5938,0,5.1,4.0
6,2012,1.8,18.8,16.2,9.7,9.2,6.7,6.4,4.4,4.5,77.8,4.4,4.2,3.5,2.1,2.0,1.4,.8,1.7,1.8,.2,0.0,.1,905,0,5.2,4.0
7,2012,12.7,13.5,16.0,10.6,9.2,6.1,3.7,5.5,4.3,81.6,3.7,2.7,2.9,2.0,2.5,1.0,1.4,.4,1.8,0.0,0.0,0.0,489,1,4.6,3.0
8,2012,3.3,13.2,15.4,17.6,5.5,5.5,5.5,4.4,4.4,74.7,6.6,7.7,2.2,1.1,2.2,2.2,2.2,0.0,1.1,0.0,0.0,0.0,91,0,5.3,4.0
9,2012,.9,4.4,15.8,9.6,8.8,14.9,6.1,8.8,5.3,74.6,3.5,4.4,1.8,2.6,2.6,3.5,1.8,2.6,1.8,0.0,0.0,.9,114,0,6.4,5.0
10,2012,2.6,12.2,13.3,10.7,9.3,8.6,6.2,5.3,4.4,72.7,4.3,3.9,3.2,3.0,3.2,3.0,2.2,2.4,2.1,.1,0.0,0.0,3294,0,6.0,5.0
