StateId,Year,NonRelative,FosterParent,StepParent,OtherRelative,Total,Missing
1,2012,2.0,96.4,0.0,1.6,562,25
2,2012,.6,57.1,0.0,42.2,308,1
3,2012,39.7,23.9,.1,36.3,2270,5
4,2012,23.5,56.5,0.0,20.1,703,0
5,2012,3.0,55.0,.2,41.8,5927,11
6,2012,4.6,65.0,0.0,30.4,905,0
7,2012,81.6,1.0,0.0,17.4,489,1
8,2012,16.5,78.0,0.0,5.5,91,0
9,2012,0.0,88.4,0.0,11.6,112,2
10,2012,24.2,26.1,.1,49.6,3241,53
11,2012,13.5,76.8,0.0,9.7,913,2
12,2012,2.7,35.8,0.0,61.5,187,0
13,2012,10.2,62.5,0.0,27.3,264,9
14,2012,50.0,0.0,0.0,50.0,2,1801
15,2012,49.6,27.7,.1,22.6,1705,8
16,2012,25.7,74.2,0.0,.1,1032,0
17,2012,3.8,52.7,0.0,43.5,764,0
18,2012,15.9,82.7,0.0,1.4,784,0
19,2012,4.9,62.6,0.0,32.5,652,3
20,2012,5.4,58.8,.7,35.1,279,12
21,2012,.2,82.6,0.0,17.2,453,2
22,2012,0.0,99.6,0.0,.4,754,0
23,2012,0.0,6.9,.3,92.9,1181,1378
24,2012,65.4,5.8,0.0,28.8,520,0
25,2012,.7,97.3,0.0,1.9,415,10
26,2012,7.1,61.0,.1,31.8,1222,6
27,2012,0.0,67.6,0.0,32.4,225,0
28,2012,0.0,63.9,0.0,36.1,416,1
29,2012,5.9,45.0,.1,49.0,763,13
30,2012,0.0,73.6,0.0,26.4,53,43
31,2012,17.8,38.3,0.0,43.9,1023,0
32,2012,0.0,69.0,0.0,31.0,345,0
33,2012,1.8,75.8,.8,21.6,2116,66
34,2012,3.2,69.5,.4,27.0,1328,1
35,2012,35.5,45.8,0.0,18.7,155,0
36,2012,16.3,78.5,0.0,5.2,1193,57
37,2012,7.8,46.0,0.0,46.2,1533,0
38,2012,7.3,55.5,0.0,37.2,683,0
39,2012,23.0,64.6,.1,12.3,1881,0
40,2012,0.0,93.5,0.0,6.5,62,129
41,2012,27.1,70.5,0.0,2.4,776,0
42,2012,7.1,54.0,0.0,38.9,126,0
43,2012,0.0,87.1,0.0,12.9,813,0
44,2012,20.5,37.2,.1,42.3,5039,0
45,2012,17.3,48.3,.2,34.2,561,1
46,2012,0.0,67.4,0.0,32.6,172,0
47,2012,1.6,91.2,0.0,7.2,639,0
48,2012,10.0,49.9,.2,39.9,421,806
49,2012,.3,58.9,0.0,40.8,632,0
50,2012,.7,96.2,0.0,3.2,761,0
51,2012,2.5,75.3,1.2,21.0,81,0
52,2012,23.4,44.7,4.3,27.7,47,0
1,2013,1.2,98.0,0.0,.8,491,27
2,2013,.9,56.4,0.0,42.6,326,2
3,2013,34.7,21.5,.2,43.5,2520,2
4,2013,25.9,51.2,0.0,22.9,691,0
5,2013,3.4,54.0,.1,42.5,5524,17
6,2013,4.9,59.8,0.0,35.3,782,0
7,2013,62.4,10.4,0.0,27.2,481,16
8,2013,25.0,66.1,0.0,8.9,112,0
9,2013,0.0,90.9,0.0,9.1,110,0
10,2013,24.3,25.1,.1,50.5,3374,43
11,2013,12.8,74.1,0.0,13.1,1030,1
12,2013,1.9,33.8,0.0,64.4,160,0
13,2013,28.1,40.4,0.0,31.5,203,3
14,2013,25.0,25.0,0.0,50.0,4,1352
15,2013,.5,70.6,0.0,28.9,949,12
16,2013,25.1,73.9,0.0,1.0,915,2
17,2013,1.8,65.3,0.0,32.9,674,0
18,2013,10.5,88.8,0.0,.6,797,0
19,2013,4.1,53.5,0.0,42.4,731,0
20,2013,3.5,57.4,0.0,39.1,202,12
21,2013,0.0,80.5,0.0,19.5,353,2
22,2013,.1,99.2,0.0,.6,799,0
23,2013,0.0,10.7,.2,89.1,1105,1269
24,2013,57.6,7.7,0.0,34.6,583,0
25,2013,.6,97.0,0.0,2.4,338,14
26,2013,7.7,58.6,.6,33.1,1229,4
27,2013,.6,62.4,0.0,37.0,165,0
28,2013,.2,66.6,.2,33.1,586,0
29,2013,3.3,46.2,0.0,50.5,727,2
30,2013,0.0,60.9,0.0,39.1,69,41
31,2013,17.6,39.3,.1,43.0,926,1
32,2013,1.0,71.9,0.0,27.1,310,0
33,2013,1.9,75.3,.1,22.7,2083,101
34,2013,2.9,68.4,.2,28.5,1221,1
35,2013,13.5,57.7,0.0,28.8,104,0
36,2013,20.9,73.5,0.0,5.6,1244,0
37,2013,6.7,48.1,0.0,45.3,1286,0
38,2013,3.9,53.2,0.0,42.9,763,5
39,2013,18.9,68.0,0.0,13.1,1892,0
40,2013,0.0,95.7,0.0,4.3,47,115
41,2013,20.8,75.7,0.0,3.6,506,0
42,2013,6.2,53.7,0.0,40.1,177,0
43,2013,0.0,82.8,0.0,17.2,1157,2
44,2013,17.3,38.4,.2,44.1,5443,0
45,2013,23.0,37.6,.2,39.2,587,0
46,2013,0.0,62.6,0.0,37.4,179,0
47,2013,3.1,88.0,0.0,8.9,709,0
48,2013,10.6,46.8,0.0,42.7,558,770
49,2013,.8,62.9,.2,36.0,877,0
50,2013,.3,97.3,0.0,2.5,800,0
51,2013,0.0,75.6,0.0,24.4,86,0
52,2013,63.2,5.3,15.8,15.8,19,0
1,2014,2.3,97.1,0.0,.6,520,28
2,2014,3.6,55.8,0.0,40.6,362,5
3,2014,33.6,21.4,.3,44.7,3089,1
4,2014,21.8,62.0,0.0,16.2,743,0
5,2014,4.1,51.6,.3,44.0,5465,6
6,2014,3.4,59.8,.3,36.5,769,0
7,2014,48.7,22.5,0.0,28.8,503,3
8,2014,15.5,78.6,0.0,6.0,84,0
9,2014,0.0,82.9,0.0,17.1,105,2
10,2014,22.7,27.0,.2,50.1,3165,102
11,2014,11.0,74.5,0.0,14.5,881,6
12,2014,3.3,40.5,1.7,54.5,121,0
13,2014,18.1,37.0,0.0,44.9,216,2
14,2014,4.9,59.1,.2,35.9,1065,551
15,2014,.9,58.3,0.0,40.7,845,5
16,2014,12.7,49.4,.7,37.2,860,18
17,2014,.7,52.1,0.0,47.2,695,0
18,2014,8.3,91.2,.1,.4,909,0
19,2014,3.1,53.1,0.0,43.9,622,0
20,2014,4.0,56.7,0.0,39.3,275,20
21,2014,2.9,80.5,.3,16.3,344,0
22,2014,0.0,99.3,0.0,.7,589,0
23,2014,65.5,4.1,.3,30.1,1579,605
24,2014,54.7,7.0,0.0,38.3,642,0
25,2014,.3,96.0,0.0,3.6,302,12
26,2014,6.3,58.6,.8,34.4,1277,14
27,2014,0.0,65.0,0.0,35.0,234,0
28,2014,0.0,64.2,.4,35.4,461,0
29,2014,.7,53.8,0.0,45.5,729,0
30,2014,0.0,64.2,0.0,35.8,106,14
31,2014,11.3,44.7,.1,43.8,1024,0
32,2014,0.0,68.6,0.0,31.4,315,0
33,2014,.8,76.2,0.0,22.9,1903,94
34,2014,3.5,66.5,.3,29.8,1173,3
35,2014,5.2,66.7,0.0,28.1,96,0
36,2014,22.1,72.1,0.0,5.8,1406,0
37,2014,7.2,52.1,0.0,40.7,1382,0
38,2014,8.0,48.8,0.0,43.3,830,17
39,2014,29.4,54.4,.1,16.1,1849,0
40,2014,0.0,92.1,0.0,7.9,76,126
41,2014,23.8,72.4,0.0,3.8,449,0
42,2014,3.8,57.2,0.0,39.0,159,0
43,2014,0.0,80.7,.2,19.1,1161,0
44,2014,19.6,37.3,.2,43.0,5221,0
45,2014,23.0,38.4,.2,38.4,604,1
46,2014,0.0,54.3,0.0,45.7,164,0
47,2014,3.5,88.6,.2,7.8,632,0
48,2014,5.5,54.4,0.0,40.0,507,855
49,2014,1.4,64.3,0.0,34.3,852,0
50,2014,0.0,98.4,0.0,1.6,735,0
51,2014,2.7,65.3,1.3,30.7,75,0
52,2014,54.5,9.1,0.0,36.4,11,0
1,2015,2.6,96.6,0.0,.8,494,18
2,2015,5.4,44.8,0.0,49.9,353,4
3,2015,27.9,21.9,.2,50.1,3234,2
4,2015,22.3,58.5,.1,19.1,740,0
5,2015,4.3,52.1,.1,43.5,6069,10
6,2015,2.6,57.4,.5,39.5,820,0
7,2015,54.0,18.1,1.8,26.1,568,5
8,2015,8.9,88.6,0.0,2.5,79,0
9,2015,0.0,78.8,0.0,21.2,104,2
10,2015,23.9,26.9,.1,49.1,3315,116
11,2015,13.5,71.9,0.0,14.6,912,0
12,2015,10.8,31.3,0.0,58.0,176,0
13,2015,18.5,45.0,0.0,36.5,222,1
14,2015,4.9,56.7,0.0,38.4,1788,0
15,2015,1.3,54.4,0.0,44.3,1149,3
16,2015,7.7,45.8,.1,46.4,1012,5
17,2015,1.5,54.5,0.0,43.9,783,0
