StateId,Year,NativeAmerican,Asian,Black,PacificIslander,Hispanic,White,Unknown,Multiracial,Total,Missing
1,2012,0.0,.2,30.2,0.0,7.5,54.7,.3,7.2,587,0
2,2012,48.9,1.3,3.6,2.6,5.5,25.6,1.0,11.7,309,0
3,2012,2.2,0.0,11.4,.1,43.3,38.2,.7,4.2,2275,0
4,2012,.7,.1,18.6,.3,7.8,62.0,0.0,10.4,703,0
5,2012,.5,1.6,14.4,.2,49.3,27.1,.1,6.8,5938,0
6,2012,1.2,.2,13.7,.4,37.1,38.8,0.0,8.5,905,0
7,2012,.4,2.7,28.2,0.0,27.6,39.2,.6,1.4,490,0
8,2012,0.0,0.0,50.5,0.0,15.4,33.0,0.0,1.1,91,0
9,2012,0.0,0.0,94.7,0.0,5.3,0.0,0.0,0.0,114,0
10,2012,.1,.0,28.3,0.0,13.3,52.4,.1,5.8,3294,0
11,2012,0.0,.1,33.6,0.0,9.0,47.1,.1,10.2,915,0
12,2012,0.0,10.2,1.1,17.6,4.8,4.8,0.0,61.5,187,0
13,2012,2.6,0.0,2.9,0.0,21.2,70.0,0.0,3.3,273,0
14,2012,0.0,.1,42.4,0.0,5.5,47.3,.5,4.2,1803,0
15,2012,0.0,.1,21.7,0.0,7.8,62.5,.2,7.7,1712,1
16,2012,2.0,.2,15.4,0.0,11.4,61.5,.5,8.9,1032,0
17,2012,1.2,.3,18.2,0.0,10.9,64.1,0.0,5.4,764,0
18,2012,.3,.1,13.4,.4,6.9,71.6,1.4,6.0,784,0
19,2012,.6,.5,40.5,0.0,2.1,50.7,2.3,3.4,655,0
20,2012,1.7,0.0,2.1,0.0,7.6,74.2,9.3,5.2,291,0
21,2012,0.0,0.0,52.8,0.0,3.1,33.1,3.8,7.3,453,2
22,2012,0.0,2.1,12.7,0.0,25.7,47.5,4.6,7.3,754,0
23,2012,1.2,.0,29.8,.1,7.0,51.9,.2,9.8,2559,0
24,2012,7.5,.8,14.0,0.0,13.1,54.2,.2,10.2,520,0
25,2012,0.0,0.0,40.0,0.0,1.6,57.4,.2,.7,425,0
26,2012,.3,.2,22.0,.2,3.8,70.6,1.2,1.5,1228,0
27,2012,24.0,0.0,.4,0.0,8.4,48.4,.4,18.2,225,0
28,2012,3.8,0.0,17.7,0.0,12.5,61.6,1.2,3.1,417,0
29,2012,1.2,.3,20.2,.5,26.2,43.9,.1,7.6,776,0
30,2012,1.0,0.0,0.0,0.0,7.3,87.5,2.1,2.1,96,0
31,2012,0.0,.7,47.0,0.0,17.8,27.0,2.5,5.0,1023,0
32,2012,9.6,.3,2.0,.3,60.6,24.6,0.0,2.6,345,0
33,2012,.1,.4,46.2,0.0,16.9,23.8,8.0,4.5,2182,0
34,2012,2.2,0.0,27.7,0.0,6.6,51.2,0.0,12.3,1329,0
35,2012,18.1,.6,9.7,.6,4.5,55.5,0.0,11.0,155,0
36,2012,0.0,0.0,26.1,0.0,5.0,58.8,.8,9.4,1249,1
37,2012,11.1,.1,13.8,0.0,15.1,40.0,0.0,20.0,1533,0
38,2012,.6,.4,3.7,.3,10.2,66.5,2.9,15.4,683,0
39,2012,.1,.3,31.8,0.0,13.1,48.1,1.9,4.7,1881,0
40,2012,1.0,.5,9.4,0.0,26.2,48.2,1.0,13.6,191,0
41,2012,.1,0.0,34.5,0.0,5.4,49.1,.6,10.2,776,0
42,2012,36.5,.8,.8,0.0,7.1,37.3,0.0,17.5,126,0
43,2012,0.0,0.0,11.7,0.0,6.0,76.1,2.2,3.9,813,0
44,2012,.3,.3,22.2,.1,42.8,28.1,1.3,5.0,5039,0
45,2012,.9,1.1,3.7,1.6,24.0,66.7,0.0,2.0,562,0
46,2012,0.0,0.0,.6,0.0,2.9,88.4,0.0,8.1,172,0
47,2012,0.0,.2,31.5,.3,11.7,49.1,.2,7.0,639,0
