StateId,Year,Yes,No,Total,Missing
1,2012,85.7,14.3,587,0
1,2013,81.7,18.3,518,0
1,2014,85.0,15.0,548,0
1,2015,86.9,13.1,512,0
1,2016,91.5,8.5,503,0
2,2012,100.0,0.0,308,1
2,2013,100.0,0.0,327,1
2,2014,99.5,.5,367,0
2,2015,99.7,.3,357,0
2,2016,100.0,0.0,313,0
3,2012,90.3,9.7,2273,2
3,2013,94.4,5.6,2520,2
3,2014,93.6,6.4,3089,1
3,2015,95.5,4.5,3236,0
3,2016,97.2,2.8,3652,2
4,2012,87.8,12.2,703,0
4,2013,84.9,15.1,691,0
4,2014,87.6,12.4,743,0
4,2015,86.9,13.1,740,0
4,2016,80.3,19.7,758,0
5,2012,99.7,.3,5938,0
5,2013,99.9,.1,5541,0
5,2014,99.8,.2,5471,0
5,2015,99.7,.3,6079,0
5,2016,99.6,.4,6542,0
6,2012,99.7,.3,905,0
6,2013,100.0,0.0,782,0
6,2014,100.0,0.0,769,0
6,2015,100.0,0.0,820,0
6,2016,99.9,.1,839,0
7,2012,16.7,83.3,490,0
7,2013,13.7,86.3,497,0
7,2014,15.8,84.2,506,0
7,2015,12.6,87.4,573,0
7,2016,21.6,78.4,529,0
8,2012,100.0,0.0,90,1
8,2013,98.2,1.8,112,0
8,2014,100.0,0.0,84,0
8,2015,100.0,0.0,77,2
8,2016,100.0,0.0,99,0
9,2012,100.0,0.0,114,0
9,2013,100.0,0.0,110,0
9,2014,100.0,0.0,107,0
9,2015,100.0,0.0,106,0
9,2016,100.0,0.0,109,1
10,2012,86.4,13.6,3294,0
10,2013,93.8,6.2,3417,0
10,2014,77.8,22.2,3267,0
10,2015,79.8,20.2,3431,0
10,2016,85.6,14.4,3573,0
11,2012,88.1,11.9,914,1
11,2013,89.4,10.6,1030,1
11,2014,90.4,9.6,887,0
11,2015,92.6,7.4,911,1
11,2016,93.1,6.9,1120,1
12,2012,100.0,0.0,187,0
12,2013,97.5,2.5,160,0
12,2014,100.0,0.0,121,0
12,2015,100.0,0.0,176,0
12,2016,97.7,2.3,129,0
13,2012,98.5,1.5,273,0
13,2013,99.5,.5,206,0
13,2014,98.2,1.8,218,0
13,2015,100.0,0.0,222,1
13,2016,98.9,1.1,185,0
14,2012,.1,99.9,1803,0
14,2013,.3,99.7,1356,0
14,2014,65.9,34.1,1616,0
14,2015,100.0,0.0,1788,0
14,2016,99.8,.2,1546,0
15,2012,77.4,22.6,1628,85
15,2013,93.0,7.0,702,259
15,2014,92.0,8.0,537,313
15,2015,93.4,6.6,757,395
15,2016,94.6,5.4,1284,252
16,2012,63.8,36.2,1024,8
16,2013,62.4,37.6,917,0
16,2014,63.0,37.0,876,2
16,2015,58.7,41.3,1011,6
16,2016,53.0,47.0,992,0
17,2012,99.3,.7,759,5
17,2013,99.7,.3,674,0
17,2014,99.9,.1,695,0
17,2015,98.7,1.3,783,0
17,2016,99.3,.7,870,0
18,2012,64.2,35.8,784,0
18,2013,64.7,35.3,797,0
18,2014,64.6,35.4,909,0
18,2015,58.0,42.0,961,0
18,2016,56.7,43.3,1104,0
19,2012,69.0,31.0,655,0
19,2013,64.6,35.4,731,0
19,2014,63.5,36.5,622,0
19,2015,66.6,33.4,662,0
19,2016,98.6,1.4,727,0
20,2012,95.2,4.8,291,0
20,2013,99.1,.9,214,0
20,2014,97.3,2.7,295,0
20,2015,96.0,4.0,328,0
