StateId,Year,Tpr_LT_1Mo,Tpr_1_to_5Mo,Tpr_6_to_11Mo,Tpr_12_to_17Mo,Tpr_18_to_23Mo,Tpr_24_to_29Mo,Tpr_30_to_35Mo,Tpr_3_to_4YR,Tpr_MT_5YR,Total,Missing,Mean,Meridian
1,2012,1.2,31.3,28.9,15.1,10.2,4.6,2.1,4.3,2.2,581,6,13.3,9
2,2012,8.1,33.7,22.7,11.0,12.6,3.2,3.6,2.9,2.3,309,0,16.0,7
3,2012,.4,27.8,49.8,12.4,3.9,1.9,.8,1.9,1.1,2264,11,10.0,7
4,2012,.6,27.5,36.4,19.5,6.7,3.4,1.7,3.1,1.1,703,0,12.1,9
5,2012,.8,25.3,38.2,20.4,6.6,3.5,1.9,2.5,.9,5916,22,11.6,9
6,2012,.5,22.5,33.3,16.1,8.0,7.2,2.5,7.9,2.1,865,40,15.3,10
7,2012,.7,42.8,31.8,10.3,5.5,3.1,1.8,2.4,1.8,456,34,10.4,6
8,2012,0.0,39.6,31.9,14.3,6.6,4.4,1.1,2.2,0.0,91,0,9.8,8
9,2012,5.3,54.0,22.1,5.3,5.3,2.7,2.7,0.0,2.7,113,1,9.3,5
10,2012,.3,38.5,33.6,12.8,4.8,3.5,1.5,2.9,2.1,3263,31,11.3,7
11,2012,.2,34.0,28.5,17.4,8.6,4.1,2.5,3.7,.9,870,45,11.9,8
12,2012,2.7,25.1,42.8,13.9,5.3,1.6,2.7,2.1,3.7,187,0,12.4,8
13,2012,.7,33.3,43.2,11.4,2.6,3.7,1.8,2.9,.4,273,0,9.9,8
14,2012,5.0,5.4,22.7,29.5,13.6,8.7,4.0,8.5,2.5,1790,13,18.6,15
15,2012,11.2,28.1,25.0,16.2,6.7,4.4,2.5,4.9,.9,1677,36,11.5,8
16,2012,.5,38.9,38.1,12.0,4.7,2.2,.9,1.5,1.3,1001,31,10.0,7
17,2012,.8,15.9,37.2,19.1,10.5,4.9,5.4,4.9,1.4,761,3,14.9,11
18,2012,.4,28.8,34.4,18.0,7.5,4.7,1.8,3.3,1.0,784,0,11.7,9
19,2012,0.0,13.9,46.7,22.0,11.6,3.4,.8,1.4,.3,655,0,11.9,10
20,2012,0.0,10.8,33.9,25.5,14.0,3.8,3.8,5.6,2.4,286,5,16.8,13
21,2012,2.1,57.9,21.0,6.6,4.8,1.4,1.4,1.7,3.1,290,165,10.1,4
22,2012,.4,21.7,30.0,15.9,10.8,7.1,5.2,6.6,2.3,747,7,16.0,11
23,2012,0.0,13.7,40.2,19.8,11.0,5.2,3.9,4.8,1.4,2547,12,14.8,11
24,2012,0.0,12.2,35.5,23.1,9.3,6.6,5.2,6.8,1.4,516,4,16.0,12
25,2012,0.0,34.5,26.0,18.2,7.8,5.0,.9,5.7,1.9,423,2,13.0,9
26,2012,30.5,35.2,16.4,8.7,2.0,1.2,1.2,2.4,2.5,1217,11,8.0,3
27,2012,8.3,15.3,37.5,13.0,7.4,6.5,2.8,6.5,2.8,216,9,15.0,10
28,2012,10.2,40.4,22.3,12.6,7.0,3.1,.5,3.6,.2,413,4,8.9,5
29,2012,.4,26.7,36.2,16.2,8.6,3.2,2.5,4.9,1.3,757,19,12.8,9
30,2012,5.4,55.4,12.0,13.0,3.3,4.3,2.2,4.3,0.0,92,4,8.8,4
31,2012,1.7,35.7,33.8,12.6,7.3,4.0,1.4,2.1,1.5,1015,8,11.0,7
32,2012,.3,17.7,31.3,20.0,10.1,8.1,3.5,8.7,.3,345,0,15.3,12
33,2012,.5,19.9,30.8,19.1,10.9,5.8,3.9,6.0,3.1,2162,20,16.6,11
34,2012,3.1,38.9,32.5,15.4,3.6,2.3,1.0,2.5,.8,1328,1,9.3,7
35,2012,1.3,19.4,51.0,15.5,4.5,4.5,1.3,1.9,.6,155,0,11.0,9
36,2012,1.4,23.8,32.2,18.3,8.3,5.4,3.4,5.1,2.1,1250,0,14.2,10
37,2012,2.0,25.6,34.6,15.9,8.2,5.2,2.9,3.3,2.4,1531,2,13.4,9
38,2012,.1,5.3,31.9,34.6,15.4,5.9,2.8,3.1,1.0,683,0,15.5,13
39,2012,1.3,36.3,38.9,13.7,4.8,1.9,1.1,1.1,.9,1862,19,9.5,7
40,2012,65.4,15.4,6.4,2.7,3.7,1.1,1.6,3.7,0.0,188,3,4.4,0
41,2012,2.6,38.5,30.7,8.4,4.8,3.7,3.4,6.1,1.9,776,0,12.1,6
42,2012,.8,12.0,26.4,28.8,19.2,4.8,3.2,3.2,1.6,125,1,15.7,13
43,2012,10.1,57.5,16.3,7.4,3.8,1.8,1.2,1.4,.5,772,41,6.4,3
44,2012,.0,19.5,34.7,19.9,9.9,5.5,2.9,5.2,2.5,5035,4,15.3,11
45,2012,5.9,59.3,18.9,6.6,3.0,1.2,.5,4.1,.5,562,0,7.4,3
46,2012,.6,63.2,22.8,6.4,2.9,0.0,1.2,1.8,1.2,171,1,7.1,4
47,2012,.3,19.1,37.0,17.4,8.9,6.0,3.2,4.5,3.6,619,20,15.9,10
48,2012,2.0,40.0,31.4,10.0,6.0,3.1,2.5,3.2,1.8,1221,6,11.3,6
49,2012,.3,3.0,37.5,34.1,13.4,5.3,2.1,2.9,1.4,627,5,15.4,13
50,2012,1.6,43.3,36.6,11.9,4.2,.9,.4,.5,.5,741,20,7.8,6
51,2012,7.4,66.7,9.9,4.9,4.9,1.2,0.0,3.7,1.2,81,0,8.3,4
52,2012,11.1,13.3,28.9,17.8,6.7,6.7,2.2,6.7,6.7,45,2,18.1,11
1,2013,1.4,37.1,27.5,15.1,5.8,4.3,1.5,4.4,2.9,517,1,12.6,8
2,2013,14.3,36.3,22.6,10.7,5.5,4.9,1.5,2.4,1.8,328,0,10.1,5
3,2013,.3,30.4,48.3,13.2,4.5,1.4,1.0,.6,.4,2510,12,8.9,7
4,2013,.4,36.6,34.3,13.3,3.6,4.2,2.7,3.8,1.0,691,0,11.1,8
5,2013,.6,28.5,37.8,20.0,6.6,2.6,1.5,1.8,.5,5526,15,10.8,8
6,2013,.1,21.1,34.5,18.4,11.4,4.7,1.9,4.3,3.5,743,39,15.3,11
7,2013,.8,36.4,40.5,11.4,3.8,2.3,1.5,2.3,.8,472,25,9.6,7
8,2013,.9,41.1,24.1,10.7,10.7,3.6,0.0,5.4,3.6,112,0,12.1,6
9,2013,9.3,68.2,11.2,1.9,0.0,3.7,0.0,2.8,2.8,107,3,7.7,3
10,2013,.3,41.7,31.5,12.4,5.7,2.3,1.3,2.8,2.0,3363,54,10.8,6
11,2013,.5,31.8,36.6,11.8,6.9,4.4,2.5,4.5,1.0,1000,31,11.9,8
12,2013,2.5,42.8,19.5,20.1,3.1,3.1,1.3,3.1,4.4,159,1,12.7,7
13,2013,.5,47.6,32.5,7.3,6.3,1.9,0.0,1.5,2.4,206,0,9.9,6
14,2013,2.3,6.7,30.7,25.2,12.8,8.7,4.1,7.3,2.3,1321,35,17.8,14
15,2013,10.8,23.9,25.0,17.4,7.8,3.9,2.9,5.8,2.5,877,84,13.5,9
16,2013,.3,37.9,43.5,10.9,3.4,2.0,.7,.7,.6,881,36,8.7,7
17,2013,.1,15.3,34.9,20.9,13.4,7.7,2.8,3.7,1.2,674,0,14.8,11
18,2013,.4,29.4,38.8,15.9,5.8,3.1,2.4,3.1,1.1,797,0,11.5,8
19,2013,0.0,22.8,45.8,16.3,7.0,4.0,2.5,.5,1.1,731,0,11.2,8
20,2013,0.0,7.7,40.7,32.5,9.1,5.3,2.4,2.4,0.0,209,5,13.3,12
21,2013,3.1,61.5,15.0,10.8,1.9,1.5,1.2,1.9,3.1,260,95,9.8,4
22,2013,0.0,24.1,33.1,14.7,7.5,5.4,4.9,6.7,3.5,791,8,16.3,10
23,2013,.1,19.8,40.7,21.2,6.9,3.4,2.7,3.7,1.5,2363,11,13.1,10
24,2013,0.0,13.6,39.5,24.1,7.2,5.0,4.7,4.8,1.0,580,3,14.4,11
